--------- beginning of system
--------- beginning of main
I/RealtimeTransport( 6480): seq=event turn=rt-2-1789096865918 server_event=session.updated thread=OkHttp https://api.openai.com/...
I/RealtimeTransport( 6480): full_payload turn=rt-2-1789096865918 {"type":"session.updated","event_id":"event_EMm709lJk3VCUuIK82U1O","session":{"type":"realtime","object":"realtime.session","id":"sess_EMm705pZfOgtC1A3dmQI9","model":"gpt-realtime-2.1","output_modalities":["audio"],"instructions":"Speak in a clear, natural conversational male voice. Keep the pitch in a normal mid-range, not unusually deep or boomy. Use crisp articulation and a slightly brisk conversational pace. Avoid a slow announcer cadence or exaggerated bass-heavy delivery. Sound relaxed, intelligent, and informal.","tools":[],"tool_choice":"auto","max_output_tokens":"inf","tracing":null,"truncation":"auto","prompt":null,"expires_at":1789100466,"audio":{"input":{"format":{"type":"audio/pcm","rate":24000},"transcription":null,"noise_reduction":null,"turn_detection":null},"output":{"format":{"type":"audio/pcm","rate":24000},"voice":"ash","speed":1.0}},"include":null}}
I/RealtimeTransport( 6480): server_session_config turn=rt-2-1789096865918 type=session.updated voice=null audio={"input":{"format":{"type":"audio\/pcm","rate":24000},"transcription":null,"noise_reduction":null,"turn_detection":null},"output":{"format":{"type":"audio\/pcm","rate":24000},"voice":"ash","speed":1}} output_modalities=["audio"]
I/RealtimeTransport( 6480): session.session.updated.audio.output.voice=ash turn=rt-2-1789096865918
I/HandsFree( 6480): speech_rms=41 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=36 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=35 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=33 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=39 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=44 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=37 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=40 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=38 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=35 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=46 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=40 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=38 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=39 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=34 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=39 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=43 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=31 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=38 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=35 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=38 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=35 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=33 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=40 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=41 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=38 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=36 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=36 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=35 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=36 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=35 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=39 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=39 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=39 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=44 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=36 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=42 speech_started=false silence_ms=0
I/HandsFree( 6480): speech_rms=40 speech_started=false silence_ms=0
